Sample_ID,Base_ID,Barcode,Parent_Barcode,Parent_Sample_ID,Volume,Concentration,Date_Created,Freezer_ID,Box_ID,Well_ID,Status,Created_By
IS-250918-003-AL-1,IS-250918-003,3534224342,3534224342,IS-250918-003-CS,,,2025-09-18,,Glycerol stock,B1,AVAILABLE,david
IS-250812-003-AL-1,IS-250812-003,3534224346,3534224346,IS-250812-003-CS,1.0,,2025-09-13,,Glycerol stock,,AVAILABLE,david
IS-250812-002-AL-1,IS-250812-002,3534224348,3534224348,IS-250812-002-CS,1.0,,2025-09-13,,Glycerol stock,,AVAILABLE,david
IS-250918-004-AL-1,IS-250918-004,3534224374,3534224374,IS-250918-004-CS,,,2025-09-18,,Glycerol stock,B02,AVAILABLE,david
IS-250812-004-AL-1,IS-250812-004,3534224375,3534224375,IS-250812-004-CS,,,2025-09-13,,Glycerol stock,,AVAILABLE,david
IS-250812-005-AL-1,IS-250812-005,3534224380,3534224380,IS-250812-005-CS,,,2025-09-13,,Glycerol stock,,AVAILABLE,david
IS-250918-002-AL-1,IS-250918-002,3534224381,3534224381,IS-250918-002-CS,,,2025-09-18,,,A12,AVAILABLE,david
IS-250812-001-AL-1,IS-250812-001,3534224395,3534224395,IS-250812-001-CS,1.0,,2025-09-13,,Glycerol stock,,AVAILABLE,david
IS-250812-006-AL-1,IS-250812-006,3534224407,3534224407,IS-250812-006-CS,1.0,,2025-09-13,,Glycerol stock,,AVAILABLE,david
IS-250913-001-AL-1,IS-250913-001,3534225468,3534225468,IS-250913-001-CS,,,2025-09-13,,Glycerol stock,,AVAILABLE,david
IS-250913-002-AL-1,IS-250913-002,3534225476,3534225476,IS-250913-002-CS,,,2025-09-13,,Glycerol stock,,AVAILABLE,david
IS-250913-004-AL-1,IS-250913-004,3534225484,3534225484,IS-250913-004-CS,,,2025-09-13,,Glycerol stock,,AVAILABLE,david
IS-250913-003-AL-1,IS-250913-003,3534225492,3534225492,IS-250913-003-CS,,,2025-09-13,,Glycerol stock,,AVAILABLE,david
IS-250918-001-AL-1,IS-250918-001,3534225513,3534225513,IS-250918-001-CS,1.0,,2025-09-18,,Glycerol stock,A11,AVAILABLE,david
