Sample_ID,Base_ID,Barcode,Parent_Barcode,Parent_Sample_ID,Extract_Type,Quality_Score,Concentration,Extraction_Method,Date_Created,Freezer_ID,Box_ID,Well_ID,Status,Created_By
IS-250918-003-EX-1,IS-250918-003,3534224347,3534224342,IS-250918-003-AL-1,DNA,,12.9,PowerFecal Pro DNA,2025-09-19,,Extracts,A11,AVAILABLE,david
IS-250812-003-EX-1,IS-250812-003,3534225505,3534224346,IS-250812-003-AL-1,DNA,,,PowerFecal Pro,2025-09-13,,Extracts,A6,AVAILABLE,david
IS-250812-002-EX-1,IS-250812-002,3534225515,3534224348,IS-250812-002-AL-1,DNA,,,PowerFecal Pro,2025-09-13,,Glycerol stock,A2,AVAILABLE,david
IS-250918-004-EX-1,IS-250918-004,3534224321,3534224374,IS-250918-004-AL-1,DNA,,9.6,PowerFecal Pro DNA,2025-09-19,,Extracts,A12,AVAILABLE,david
IS-250812-004-EX-1,IS-250812-004,3534225556,3534224375,IS-250812-004-AL-1,DNA,,,PowerFecal Pro,2025-09-13,,Extracts,A4,AVAILABLE,david
IS-250812-005-EX-1,IS-250812-005,3534225530,3534224380,IS-250812-005-AL-1,DNA,,,PowerFecal Pro,2025-09-13,,Extracts,A5,AVAILABLE,david
IS-250918-002-EX-1,IS-250918-002,3534224368,3534224381,IS-250918-002-AL-1,DNA,,16.0,PowerFecal Pro DNA,2025-09-19,,Extracts,B02,AVAILABLE,david
IS-250812-001-EX-1,IS-250812-001,3534225563,3534224395,IS-250812-001-AL-1,DNA,,,PowerFecal Pro,2025-09-13,,Extracts,A1,AVAILABLE,david
IS-250812-006-EX-1,IS-250812-006,3534225500,3534224407,IS-250812-006-AL-1,DNA,,,PowerFecal Pro,2025-09-13,,Extracts,A3,AVAILABLE,david
IS-250913-001-EX-1,IS-250913-001,3534225522,3534225468,IS-250913-001-AL-1,DNA,,,PowerFecal Pro,2025-09-13,,Extracts,A9,AVAILABLE,david
IS-250913-002-EX-1,IS-250913-002,3534225529,3534225476,IS-250913-002-AL-1,DNA,,,PowerFecal Pro,2025-09-13,,Extracts,A10,AWAITING_RECEIPT,david
IS-250913-004-EX-1,IS-250913-004,3534225528,3534225484,IS-250913-004-AL-1,DNA,,,PowerFecal Pro,2025-09-13,,Extracts,A7,AVAILABLE,david
IS-250913-003-EX-1,IS-250913-003,3534225514,3534225492,IS-250913-003-AL-1,DNA,,,PowerFecal Pro,2025-09-13,,Extracts,A8,AVAILABLE,david
